Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
OUT_STATE,Jenkins,12/16/19,2,OUT_STATE,1,69,67,0,132,0
Shelby Valley,Pike County Central,12/16/19,33,Shelby Valley,1,62,29,228,204,0
South Oldham,Trimble County,12/16/19,43,Trimble County,0,73,30,232,247,0
South Warren,Todd County Central,12/16/19,16,Todd County Central,0,67,51,233,245,0
Southwestern,Rockcastle County,12/16/19,17,Rockcastle County,0,76,59,235,215,0
Walton-Verona,Eminence,12/16/19,32,Walton-Verona,1,62,30,256,81,0
Adair County,Campbellsville,12/17/19,6,Adair County,1,58,52,1,43,0
Allen County-Scottsville,Warren East,12/17/19,3,Warren East,0,65,62,2,258,0
Ashland Blazer,George Rogers Clark,12/17/19,0.5,George Rogers Clark,0,71,66,5,101,0
Barren County,Caverna,12/17/19,34,Barren County,1,74,40,12,47,0
Beechwood,Dixie Heights,12/17/19,16,Beechwood,1,74,58,14,71,0
Bell County,Harlan,12/17/19,11,Harlan,0,63,52,16,111,0
OUT_STATE,Paris,12/17/19,5,Paris,0,53,48,0,199,0
Bourbon County,Montgomery County,12/17/19,5,Montgomery County,0,67,62,24,177,0
Boyle County,Rockcastle County,12/17/19,9,Boyle County,1,61,52,27,215,0
Breckinridge County,Trinity (Whitesville),12/17/19,23,Breckinridge County,1,85,62,30,249,0
Bryan Station,Madison Central,12/17/19,1,Bryan Station,1,51,50,32,157,0
Bullitt Central,North Hardin,12/17/19,5,Bullitt Central,1,67,62,34,187,0
Burgin,Evangel Christian,12/17/19,10,Burgin,1,71,61,36,83,0
Butler,Doss,12/17/19,22,Butler,1,71,49,37,72,0
Butler County,Russellville,12/17/19,6,Russellville,0,68,62,38,220,0
Caldwell County,Todd County Central,12/17/19,5,Caldwell County,1,54,49,39,245,0
Calloway County,Graves County,12/17/19,10,Calloway County,1,60,50,40,104,0
OUT_STATE,Frederick Fraize,12/17/19,5,Frederick Fraize,0,59,54,0,96,0
Carlisle County,Fulton City,12/17/19,10,Carlisle County,1,59,49,44,97,0
Carroll County,Henry County,12/17/19,1,Henry County,0,51,50,45,118,0
Central,Portland Christian,12/17/19,43,Central,1,65,22,48,208,0
Christian Academy-Louisville,Kentucky Country Day,12/17/19,17,Kentucky Country Day,0,83,66,50,136,0
Clinton County,Cumberland County,12/17/19,13,Clinton County,1,67,54,54,64,0
Cooper,Ryle,12/17/19,8,Cooper,1,52,44,58,221,0
Covington Catholic,Holy Cross (Covington),12/17/19,47,Covington Catholic,1,87,40,61,124,0
Crittenden County,Christian Fellowship,12/17/19,20,Christian Fellowship,0,77,57,63,52,0
Danville Christian,Kentucky School f/t Deaf,12/17/19,35,Danville Christian,1,60,25,66,137,0
Daviess County,Hancock County,12/17/19,15,Hancock County,0,61,46,67,110,0
DeSales,Bullitt East,12/17/19,3,Bullitt East,0,56,53,70,35,0
DuPont Manual,Shawnee,12/17/19,27,Shawnee,0,66,39,73,226,0
East Carter,Lewis County,12/17/19,6,East Carter,1,64,58,74,146,0
East Jessamine,Model,12/17/19,17,East Jessamine,1,57,40,75,175,0
Elizabethtown,Grayson County,12/17/19,32,Elizabethtown,1,71,39,79,105,0
Estill County,Owsley County,12/17/19,0.5,Owsley County,0,57,47,82,196,0
Fleming County,Rose Hill Christian,12/17/19,13,Rose Hill Christian,0,89,76,87,216,0
Fort Knox,OUT_STATE,12/17/19,16,Fort Knox,1,68,52,90,0,0
Frankfort,Nicholas County,12/17/19,18,Nicholas County,0,84,66,91,185,0
Frederick Douglass,Madison Southern,12/17/19,14,Frederick Douglass,1,80,66,95,158,0
Gallatin County,Owen County,12/17/19,25,Owen County,0,75,50,99,193,0
Great Crossing,Franklin County,12/17/19,27,Great Crossing,1,70,43,106,93,0
Greenwood,Bowling Green,12/17/19,12,Greenwood,1,54,42,109,25,0
OUT_STATE,East Ridge,12/17/19,5,OUT_STATE,1,86,81,0,76,0
OUT_STATE,Fulton County,12/17/19,9,OUT_STATE,1,73,64,0,98,0
Harlan County,Middlesboro,12/17/19,7,Harlan County,1,47,40,112,174,0
Hazard,Leslie County,12/17/19,25,Hazard,1,84,59,115,144,0
Hickman County,Ballard Memorial,12/17/19,7,Hickman County,1,69,62,120,9,0
Jeffersontown,Iroquois,12/17/19,0.5,Iroquois,0,87,79,131,128,0
John Hardin,Central Hardin,12/17/19,42,John Hardin,1,82,40,133,49,0
Knox Central,Cordia,12/17/19,20,Knox Central,1,83,63,139,60,0
Lawrence County,Belfry,12/17/19,13,Belfry,0,94,81,142,15,0
Lexington Christian,Paul Laurence Dunbar,12/17/19,11,Lexington Christian,1,60,49,148,200,0
Lincoln County,West Jessamine,12/17/19,0.5,West Jessamine,0,67,59,149,263,0
Lloyd Memorial,Holmes,12/17/19,13,Lloyd Memorial,1,85,72,151,123,0
Logan County,Apollo,12/17/19,41,Logan County,1,78,37,152,4,0
Lyon County,Trigg County,12/17/19,13,Trigg County,0,73,60,156,246,0
Madisonville-North Hopkins,Hopkins County Central,12/17/19,19,Hopkins County Central,0,64,45,159,126,0
Male,Brown,12/17/19,65,Male,1,84,19,161,31,0
Marion County,Taylor County,12/17/19,13,Marion County,1,78,65,162,243,0
Marshall County,Murray,12/17/19,14,Murray,0,69,55,163,181,0
Martin County,Perry County Central,12/17/19,16,Martin County,1,73,57,164,202,0
McCracken County,Mayfield,12/17/19,21,Mayfield,0,67,46,167,166,0
McCreary Central,Garrard County,12/17/19,27,Garrard County,0,69,42,168,100,0
McLean County,Dawson Springs,12/17/19,8,McLean County,1,68,60,169,68,0
Meade County,Shelby County,12/17/19,3,Meade County,1,50,47,170,227,0
Metcalfe County,Hart County,12/17/19,8,Metcalfe County,1,80,72,173,114,0
Nelson County,Washington County,12/17/19,13,Nelson County,1,64,51,182,259,0
Newport,Campbell County,12/17/19,18,Newport,1,70,52,183,42,0
North Bullitt,Southern,12/17/19,19,North Bullitt,1,85,66,186,234,0
North Laurel,Red Bird,12/17/19,27,North Laurel,1,69,42,188,213,0
Ohio County,Muhlenberg County,12/17/19,5,Ohio County,1,59,54,190,180,0
Oneida Baptist Institute,Pineville,12/17/19,2,Pineville,0,61,59,192,206,0
Owensboro,Christian County,12/17/19,3,Owensboro,1,59,56,194,51,0
Paducah Tilghman,Henderson County,12/17/19,3,Paducah Tilghman,1,80,77,197,116,0
Paintsville,Magoffin County,12/17/19,1,Magoffin County,0,61,60,198,160,0
Pikeville,Jenkins,12/17/19,40,Pikeville,1,78,38,205,132,0
Prestonsburg,Floyd Central,12/17/19,11,Floyd Central,0,74,63,210,88,0
Pulaski County,Wayne County,12/17/19,21,Pulaski County,1,80,59,211,260,0
Russell,Raceland,12/17/19,2,Raceland,0,54,52,218,212,0
Seneca,Waggener,12/17/19,1,Waggener,0,60,59,225,254,0
Somerset,Casey County,12/17/19,37,Casey County,0,80,43,230,46,0
South Laurel,Corbin,12/17/19,13,South Laurel,1,74,61,231,59,0
Tates Creek,LaRue County,12/17/19,25,LaRue County,0,78,53,242,141,0
University Heights,Fort Campbell,12/17/19,28,University Heights,1,67,39,251,89,0
Webster County,Livingston Central,12/17/19,50,Webster County,1,83,33,261,150,0
Western,Valley,12/17/19,26,Western,1,76,50,264,252,0
Whitley County,Berea,12/17/19,6,Whitley County,1,64,58,267,18,0
Williamsburg,OUT_STATE,12/17/19,26,OUT_STATE,0,85,59,268,0,0
Wolfe County,Breathitt County,12/17/19,11,Breathitt County,0,69,58,270,29,0
Woodford County,Scott County,12/17/19,2,Woodford County,1,67,65,271,224,0
OUT_STATE,Marshall County,12/18/19,0.5,Neutral,2,74,71,0,163,0
OUT_STATE,Boyd County,12/18/19,21,Neutral,2,86,65,0,26,0
Anderson County,Walton-Verona,12/18/19,14,Walton-Verona,0,64,50,3,256,0
Bracken County,Villa Madonna,12/18/19,3,Villa Madonna,0,69,66,28,253,0
Conner,Campbell County,12/18/19,13,Campbell County,0,60,47,57,42,0
Ludlow,Dayton,12/18/19,32,Ludlow,1,82,50,154,69,0
Montgomery County,Trimble County,12/18/19,37,Trimble County,0,93,56,177,247,0
Newport Central Catholic,Boone County,12/18/19,14,Boone County,0,61,47,184,23,0
Robertson County,Pendleton County,12/18/19,19,Pendleton County,0,84,65,214,201,0
Rowan County,Bath County,12/18/19,10,Rowan County,1,55,45,217,13,0
St. Xavier,Kentucky Country Day,12/18/19,21,Kentucky Country Day,0,63,42,241,136,0
Muhlenberg County,OUT_STATE,12/19/19,9,Neutral,2,70,61,180,0,0
Berea,Evangel Christian,12/19/19,65,Berea,1,91,26,18,83,0
Cordia,Monroe County,12/19/19,13,Neutral,2,77,64,60,176,0
Estill County,Menifee County,12/19/19,11,Neutral,2,67,56,82,171,0
Model,Owsley County,12/19/19,11,Neutral,2,65,54,175,196,0
Sayre,Red Bird,12/19/19,36,Neutral,2,77,41,222,213,0
Somerset,OUT_STATE,12/19/19,22,Neutral,2,69,47,230,0,0
OUT_STATE,Jackson County,12/19/19,4,Neutral,2,64,60,0,130,0
DeSales,DuPont Manual,12/19/19,2,Neutral,2,48,46,70,73,0
Fern Creek,Valley,12/19/19,36,Fern Creek,1,84,48,86,252,0
Jeffersontown,Waggener,12/19/19,23,Neutral,2,69,46,131,254,0
Seneca,Pleasure Ridge Park,12/19/19,7,Pleasure Ridge Park,0,67,60,225,207,0
OUT_STATE,Marshall County,12/19/19,53,Neutral,2,79,26,0,163,0
McLean County,Frederick Fraize,12/19/19,24,Neutral,2,62,38,169,96,0
OUT_STATE,Frankfort,12/19/19,12,Neutral,2,66,54,0,91,0
Webster County,Daviess County,12/19/19,15,Webster County,1,59,44,261,67,0
Bourbon County,Southern,12/19/19,17,Neutral,2,75,58,24,234,0
Harlan County,Shelby County,12/19/19,29,Neutral,2,77,48,112,227,0
Henry Clay,Moore,12/19/19,18,Henry Clay,1,78,60,117,178,0
LaRue County,OUT_STATE,12/19/19,2,Neutral,2,37,35,141,0,0
Betsy Layne,Morgan County,12/19/19,1,Neutral,2,59,58,21,179,0
Shelby Valley,Wolfe County,12/19/19,19,Neutral,2,69,50,228,270,0
Collins,Trinity (Louisville),12/19/19,0.5,Neutral,2,70,69,55,248,0
Fairdale,Martin County,12/19/19,18,Fairdale,1,66,48,84,164,0
McCracken County,Lafayette,12/19/19,11,Neutral,2,60,49,167,140,0
North Oldham,Bardstown,12/19/19,9,Neutral,2,65,56,189,11,0
Metcalfe County,Edmonson County,12/19/19,0.5,Edmonson County,0,93,86,173,78,0
Thomas Nelson,Green County,12/19/19,1,Neutral,2,67,66,244,107,0
Buckhorn,OUT_STATE,12/19/19,36,Neutral,2,71,35,33,0,0
Calvary Christian,Whitefield Academy,12/19/19,13,Neutral,2,71,58,41,266,0
OUT_STATE,Bath County,12/19/19,2,Neutral,2,53,51,0,13,0
OUT_STATE,Phelps,12/19/19,40,Neutral,2,67,27,0,203,0
OUT_STATE,Bell County,12/19/19,6,Neutral,2,70,64,0,16,0
OUT_STATE,Oneida Baptist Institute,12/19/19,1,Neutral,2,43,42,0,192,0
Pikeville,OUT_STATE,12/19/19,9,Neutral,2,77,68,205,0,0
Russell County,OUT_STATE,12/19/19,0.5,Neutral,2,73,62,219,0,0
OUT_STATE,Johnson Central,12/19/19,3,Neutral,2,73,70,0,134,0
OUT_STATE,Boyd County,12/19/19,7,Neutral,2,74,67,0,26,0
Hopkinsville,Nelson County,12/19/19,5,Neutral,2,53,48,127,182,0
Caldwell County,Dawson Springs,12/19/19,25,Dawson Springs,0,75,50,39,68,0
Danville Christian,OUT_STATE,12/19/19,17,Danville Christian,1,75,58,66,0,0
East Carter,Fairview,12/19/19,14,Fairview,0,68,54,74,85,0
East Jessamine,Boyle County,12/19/19,14,Boyle County,0,72,58,75,27,0
Graves County,Ballard Memorial,12/19/19,30,Ballard Memorial,0,65,35,104,9,0
Great Crossing,Scott County,12/19/19,12,Scott County,0,64,52,106,224,0
Jackson City,Eminence,12/19/19,4,Neutral,2,69,65,129,81,0
Knott County Central,Breathitt County,12/19/19,12,Breathitt County,0,64,52,138,29,0
Lexington Catholic,Tates Creek,12/19/19,14,Lexington Catholic,1,67,53,147,242,0
Lynn Camp,Williamsburg,12/19/19,5,Lynn Camp,1,60,55,155,268,0
Magoffin County,Pike County Central,12/19/19,19,Magoffin County,1,57,38,160,204,0
Newport,Dixie Heights,12/19/19,2,Dixie Heights,0,72,70,183,71,0
OUT_STATE,Pineville,12/19/19,2,Pineville,0,65,63,0,206,0
Spencer County,Bullitt East,12/19/19,9,Spencer County,1,58,49,236,35,0
OUT_STATE,Greenup County,12/19/19,7,Neutral,2,83,76,0,108,0
Villa Madonna,Heritage Academy,12/19/19,26,Heritage Academy,0,91,65,253,119,0
Warren Central,Franklin-Simpson,12/19/19,12,Franklin-Simpson,0,71,59,257,94,0
Western Hills,Frankfort Christian,12/19/19,54,Frankfort Christian,0,84,30,265,92,0
Atherton,Garrard County,12/20/19,0.5,Neutral,2,65,60,6,100,0
McCreary Central,Lynn Camp,12/20/19,13,McCreary Central,1,85,72,168,155,0
Wayne County,Williamsburg,12/20/19,4,Neutral,2,62,58,260,268,0
OUT_STATE,Muhlenberg County,12/20/19,16,Neutral,2,69,53,0,180,0
Eminence,Evangel Christian,12/20/19,24,Neutral,2,64,40,81,83,0
Jackson County,Owsley County,12/20/19,10,Neutral,2,60,50,130,196,0
Menifee County,Red Bird,12/20/19,10,Neutral,2,72,62,171,213,0
Monroe County,OUT_STATE,12/20/19,14,Neutral,2,78,64,176,0,0
Sayre,Estill County,12/20/19,0.5,Neutral,2,50,48,222,82,0
Somerset,Cordia,12/20/19,24,Neutral,2,87,63,230,60,0
OUT_STATE,Model,12/20/19,7,Neutral,2,64,57,0,175,0
Corbin,OUT_STATE,12/20/19,24,Neutral,2,66,42,59,0,0
DuPont Manual,Glasgow,12/20/19,11,Neutral,2,71,60,73,102,0
Fern Creek,Central,12/20/19,18,Fern Creek,1,64,46,86,48,0
Jeffersontown,Owensboro,12/20/19,30,Neutral,2,64,34,131,194,0
Pleasure Ridge Park,Paintsville,12/20/19,31,Pleasure Ridge Park,1,81,50,207,198,0
Western,Trinity (Whitesville),12/20/19,36,Trinity (Whitesville),0,81,45,264,249,0
Campbell County,Knox Central,12/20/19,1,Neutral,2,71,70,42,139,0
Lawrence County,Elliott County,12/20/19,13,Neutral,2,75,62,142,80,0
Leslie County,Rose Hill Christian,12/20/19,3,Neutral,2,55,52,144,216,0
Raceland,East Ridge,12/20/19,29,Raceland,1,63,34,212,76,0
OUT_STATE,Frankfort,12/20/19,10,Neutral,2,63,53,0,91,0
Nelson County,Daviess County,12/20/19,20,Neutral,2,74,54,182,67,0
Webster County,Hopkinsville,12/20/19,7,Webster County,1,61,54,261,127,0
Butler County,Hickman County,12/20/19,34,Butler County,1,76,42,38,120,0
Murray,McLean County,12/20/19,15,Neutral,2,71,56,181,169,0
Owensboro Catholic,Todd County Central,12/20/19,14,Neutral,2,55,41,195,245,0
Bourbon County,LaRue County,12/20/19,11,Neutral,2,71,60,24,141,0
OUT_STATE,Southern,12/20/19,24,Neutral,2,61,37,0,234,0
Henry Clay,Harlan County,12/20/19,32,Henry Clay,1,77,45,117,112,0
Moore,Shelby County,12/20/19,8,Neutral,2,70,62,178,227,0
Shelby Valley,Betsy Layne,12/20/19,22,Neutral,2,84,62,228,21,0
Augusta,Harrison County,12/20/19,9,Harrison County,0,65,56,7,113,0
Doss,Grayson County,12/20/19,35,Neutral,2,71,36,72,105,0
North Bullitt,Henderson County,12/20/19,10,Henderson County,0,78,68,186,116,0
Graves County,St. Mary,12/20/19,19,Neutral,2,58,39,104,239,0
Hancock County,Trigg County,12/20/19,9,Trigg County,0,72,63,110,246,0
Belfry,St. Francis,12/20/19,13,Neutral,2,75,62,15,237,0
Frederick Douglass,Russell,12/20/19,18,Neutral,2,66,48,95,218,0
Holy Cross (Covington),West Carter,12/20/19,10,Neutral,2,72,62,124,262,0
Lincoln County,Marion County,12/20/19,3,Neutral,2,36,33,149,162,0
Ludlow,Whitley County,12/20/19,10,Neutral,2,72,62,154,267,0
Montgomery County,Lewis County,12/20/19,15,Neutral,2,77,62,177,146,0
Rowan County,Butler,12/20/19,9,Rowan County,1,58,49,217,37,0
St. Henry,Christian Academy-Louisville,12/20/19,20,Neutral,2,74,54,238,50,0
Ballard,OUT_STATE,12/20/19,10,Neutral,2,109,99,8,0,0
Male,South Oldham,12/20/19,13,Neutral,2,82,69,161,232,0
Iroquois,Bethlehem,12/20/19,23,Neutral,2,58,35,128,20,0
Louisville Collegiate,Anderson County,12/20/19,3,Louisville Collegiate,1,47,44,153,3,0
Danville,Bullitt Central,12/20/19,7,Neutral,2,76,69,65,34,0
OUT_STATE,Pulaski County,12/20/19,12,Pulaski County,0,78,66,0,211,0
Middlesboro,Campbellsville,12/20/19,9,Neutral,2,58,49,174,43,0
Southwestern,OUT_STATE,12/20/19,6,Southwestern,1,82,76,235,0,0
Highlands,Madison Central,12/20/19,13,Neutral,2,57,44,121,157,0
Portland Christian,Danville Christian,12/20/19,0.5,Portland Christian,1,76,68,208,66,0
Shawnee,Brown,12/20/19,31,Neutral,2,62,31,226,31,0
Calloway County,University Heights,12/20/19,15,Neutral,2,77,62,40,251,0
Paducah Tilghman,OUT_STATE,12/20/19,34,Paducah Tilghman,1,94,60,197,0,0
Green County,Edmonson County,12/20/19,1,Edmonson County,0,74,73,107,78,0
Thomas Nelson,Metcalfe County,12/20/19,10,Neutral,2,74,64,244,173,0
Grant County,Scott,12/20/19,12,Neutral,2,86,74,103,223,0
Holmes,Pendleton County,12/20/19,7,Neutral,2,74,67,123,201,0
Lexington Catholic,Simon Kenton,12/20/19,16,Simon Kenton,0,70,54,147,229,0
Bath County,OUT_STATE,12/20/19,27,Neutral,2,73,46,13,0,0
Bell County,Whitefield Academy,12/20/19,19,Neutral,2,60,41,16,266,0
OUT_STATE,Buckhorn,12/20/19,16,Neutral,2,60,44,0,33,0
OUT_STATE,Russell County,12/20/19,0.5,Neutral,2,74,70,0,219,0
OUT_STATE,Calvary Christian,12/20/19,28,Neutral,2,75,47,0,41,0
Johnson Central,Oneida Baptist Institute,12/20/19,6,Neutral,2,82,76,134,192,0
OUT_STATE,Phelps,12/20/19,33,Neutral,2,78,45,0,203,0
OUT_STATE,Pikeville,12/20/19,16,Neutral,2,49,33,0,205,0
OUT_STATE,Boyd County,12/20/19,20,Neutral,2,75,55,0,26,0
Clinton County,Taylor County,12/20/19,6,Clinton County,1,54,48,54,243,0
Eastern,Hopkins County Central,12/20/19,43,Neutral,2,80,37,77,126,0
Logan County,Taylor County,12/20/19,37,Neutral,2,84,47,152,243,0
Ashland Blazer,OUT_STATE,12/20/19,8,Ashland Blazer,1,75,67,5,0,0
Barren County,Allen County-Scottsville,12/20/19,15,Allen County-Scottsville,0,61,46,12,2,0
Berea,Jackson City,12/20/19,18,Berea,1,82,64,18,129,0
Boyle County,Lexington Christian,12/20/19,19,Lexington Christian,0,70,51,27,148,0
Breckinridge County,Meade County,12/20/19,22,Breckinridge County,1,74,52,30,170,0
Caldwell County,Russellville,12/20/19,38,Caldwell County,1,79,41,39,220,0
Central Hardin,Hart County,12/20/19,6,Hart County,0,55,49,49,114,0
Christian Fellowship,OUT_STATE,12/20/19,35,OUT_STATE,0,69,34,52,0,0
Conner,Ryle,12/20/19,0.5,Ryle,0,70,64,57,221,0
Cooper,Bryan Station,12/20/19,17,Cooper,1,63,46,58,32,0
Covington Catholic,Newport Central Catholic,12/20/19,35,Covington Catholic,1,59,24,61,184,0
Crittenden County,Livingston Central,12/20/19,29,Crittenden County,1,58,29,63,150,0
Gallatin County,Carroll County,12/20/19,9,Gallatin County,1,66,57,99,45,0
George Rogers Clark,Paris,12/20/19,31,George Rogers Clark,1,81,50,101,199,0
Greenup County,OUT_STATE,12/20/19,7,Neutral,2,79,72,108,0,0
Greenwood,South Warren,12/20/19,21,South Warren,0,73,52,109,233,0
Henry County,Owen County,12/20/19,0.5,Owen County,0,64,59,118,193,0
Holy Cross (Louisville),Valley,12/20/19,3,Holy Cross (Louisville),1,51,48,125,252,0
OUT_STATE,Fulton County,12/20/19,6,Fulton County,0,60,54,0,98,0
John Hardin,North Hardin,12/20/19,44,North Hardin,0,86,42,133,187,0
Lloyd Memorial,Boone County,12/20/19,1,Boone County,0,57,56,151,23,0
Madisonville-North Hopkins,Clay County,12/20/19,26,Neutral,2,83,57,159,53,0
Magoffin County,Jenkins,12/20/19,40,Magoffin County,1,80,40,160,132,0
Mason County,Bracken County,12/20/19,9,Bracken County,0,85,76,165,28,0
Mayfield,Carlisle County,12/20/19,3,Mayfield,1,55,52,166,44,0
North Laurel,South Laurel,12/20/19,10,North Laurel,1,73,63,188,231,0
Oldham County,Walton-Verona,12/20/19,28,Oldham County,1,75,47,191,256,0
Powell County,Lee County,12/20/19,10,Lee County,0,73,63,209,143,0
Prestonsburg,Morgan County,12/20/19,2,Prestonsburg,1,49,47,210,179,0
Robertson County,Nicholas County,12/20/19,4,Nicholas County,0,69,65,214,185,0
Rockcastle County,Casey County,12/20/19,20,Rockcastle County,1,75,55,215,46,0
Walden,OUT_STATE,12/20/19,28,OUT_STATE,0,69,41,255,0,0
West Jessamine,Mercer County,12/20/19,14,Mercer County,0,81,67,263,172,0
Atherton,Casey County,12/21/19,5,Neutral,2,72,67,6,46,0
Garrard County,McCreary Central,12/21/19,3,McCreary Central,0,59,56,100,168,0
Wayne County,Lynn Camp,12/21/19,33,Neutral,2,93,60,260,155,0
OUT_STATE,Muhlenberg County,12/21/19,3,Neutral,2,59,56,0,180,0
Berea,OUT_STATE,12/21/19,12,Berea,1,54,42,18,0,0
OUT_STATE,Red Bird,12/21/19,23,Neutral,2,71,48,0,213,0
Cordia,Jackson City,12/21/19,10,Neutral,2,74,64,60,129,0
Estill County,Cordia,12/21/19,22,Neutral,2,71,49,82,60,0
Estill County,Model,12/21/19,17,Neutral,2,59,42,82,175,0
Jackson County,Menifee County,12/21/19,9,Neutral,2,77,68,130,171,0
Jackson County,Eminence,12/21/19,44,Neutral,2,84,40,130,81,0
Menifee County,Monroe County,12/21/19,3,Neutral,2,70,67,171,176,0
Monroe County,Eminence,12/21/19,1,Neutral,2,61,60,176,81,0
Owsley County,Evangel Christian,12/21/19,33,Neutral,2,79,46,196,83,0
Owsley County,OUT_STATE,12/21/19,2,Neutral,2,54,52,196,0,0
Sayre,OUT_STATE,12/21/19,14,Neutral,2,74,60,222,0,0
Somerset,Sayre,12/21/19,44,Neutral,2,83,39,230,222,0
Somerset,Berea,12/21/19,29,Berea,0,71,42,230,18,0
Corbin,OUT_STATE,12/21/19,39,Neutral,2,77,38,59,0,0
Central,Valley,12/21/19,12,Neutral,2,64,52,48,252,0
DeSales,Glasgow,12/21/19,15,Neutral,2,76,61,70,102,0
Fern Creek,Jeffersontown,12/21/19,10,Fern Creek,1,61,51,86,131,0
Glasgow,Paintsville,12/21/19,1,Neutral,2,56,55,102,198,0
Owensboro,Valley,12/21/19,23,Neutral,2,75,52,194,252,0
Pleasure Ridge Park,DuPont Manual,12/21/19,5,Pleasure Ridge Park,1,78,73,207,73,0
Seneca,Paintsville,12/21/19,3,Neutral,2,38,35,225,198,0
Seneca,DeSales,12/21/19,2,Neutral,2,49,47,225,70,0
Waggener,Owensboro,12/21/19,6,Neutral,2,72,66,254,194,0
Waggener,Central,12/21/19,20,Neutral,2,68,48,254,48,0
Crittenden County,Trinity (Whitesville),12/21/19,6,Trinity (Whitesville),0,65,59,63,249,0
Western,Frederick Fraize,12/21/19,35,Neutral,2,86,51,264,96,0
East Ridge,Rose Hill Christian,12/21/19,10,Neutral,2,78,68,76,216,0
Knox Central,Elliott County,12/21/19,33,Neutral,2,80,47,139,80,0
Lawrence County,Campbell County,12/21/19,8,Neutral,2,64,56,142,42,0
Raceland,Leslie County,12/21/19,21,Raceland,1,70,49,212,144,0
OUT_STATE,Frankfort,12/21/19,0.5,Neutral,2,75,72,0,91,0
Daviess County,Hopkinsville,12/21/19,10,Neutral,2,63,53,67,127,0
Webster County,Nelson County,12/21/19,17,Webster County,1,54,37,261,182,0
Butler County,Todd County Central,12/21/19,6,Butler County,1,68,62,38,245,0
Butler County,McLean County,12/21/19,0.5,Butler County,1,51,48,38,169,0
McLean County,Hickman County,12/21/19,30,Neutral,2,75,45,169,120,0
Murray,Todd County Central,12/21/19,39,Neutral,2,74,35,181,245,0
Murray,Owensboro Catholic,12/21/19,4,Neutral,2,54,50,181,195,0
Owensboro Catholic,Hickman County,12/21/19,22,Neutral,2,77,55,195,120,0
OUT_STATE,Moore,12/21/19,22,Neutral,2,79,57,0,178,0
Henry Clay,Bourbon County,12/21/19,3,Henry Clay,1,70,67,117,24,0
LaRue County,Harlan County,12/21/19,15,Neutral,2,70,55,141,112,0
Southern,Shelby County,12/21/19,11,Neutral,2,73,62,234,227,0
Betsy Layne,Wolfe County,12/21/19,6,Neutral,2,90,84,21,270,0
Prestonsburg,Pike County Central,12/21/19,9,Prestonsburg,1,64,55,210,204,0
Shelby Valley,Morgan County,12/21/19,16,Neutral,2,63,47,228,179,0
Highlands,Augusta,12/21/19,25,Neutral,2,92,67,121,7,0
Henderson County,Grayson County,12/21/19,28,Henderson County,1,57,29,116,105,0
North Bullitt,Doss,12/21/19,4,Neutral,2,66,62,186,72,0
Graves County,Hancock County,12/21/19,19,Neutral,2,62,43,104,110,0
St. Mary,Trigg County,12/21/19,9,Trigg County,0,61,52,239,246,0
Butler,George Rogers Clark,12/21/19,30,Neutral,2,89,59,37,101,0
Christian Academy-Louisville,Ludlow,12/21/19,32,Neutral,2,83,51,50,154,0
Holy Cross (Covington),Lewis County,12/21/19,46,Neutral,2,87,41,124,146,0
Lexington Christian,South Laurel,12/21/19,2,Neutral,2,55,53,148,231,0
Madison Southern,Dixie Heights,12/21/19,8,Neutral,2,57,49,158,71,0
Marion County,Montgomery County,12/21/19,3,Neutral,2,60,57,162,177,0
Newport,Russell,12/21/19,6,Neutral,2,63,57,183,218,0
Owen County,St. Francis,12/21/19,8,Neutral,2,59,51,193,237,0
Robertson County,Breathitt County,12/21/19,10,Neutral,2,83,73,214,29,0
Rowan County,St. Henry,12/21/19,10,Rowan County,1,70,60,217,238,0
Ryle,East Carter,12/21/19,8,Neutral,2,62,54,221,74,0
West Carter,Frederick Douglass,12/21/19,1,Neutral,2,57,56,262,95,0
Whitley County,Belfry,12/21/19,8,Neutral,2,62,54,267,15,0
Ballard,OUT_STATE,12/21/19,6,Neutral,2,69,63,8,0,0
Bardstown,Martin County,12/21/19,5,Neutral,2,69,64,11,164,0
Collins,Madisonville-North Hopkins,12/21/19,0.5,Neutral,2,71,70,55,159,0
Male,McCracken County,12/21/19,0.5,Neutral,2,65,56,161,167,0
North Oldham,Fairdale,12/21/19,14,Fairdale,0,78,64,189,84,0
South Oldham,Lafayette,12/21/19,23,Neutral,2,78,55,232,140,0
Anderson County,Bethlehem,12/21/19,18,Neutral,2,53,35,3,20,0
Louisville Collegiate,Iroquois,12/21/19,1,Louisville Collegiate,1,50,49,153,128,0
Danville,OUT_STATE,12/21/19,15,Neutral,2,80,65,65,0,0
Middlesboro,Southwestern,12/21/19,2,Neutral,2,53,51,174,235,0
Pulaski County,Campbellsville,12/21/19,33,Pulaski County,1,89,56,211,43,0
West Jessamine,Bullitt Central,12/21/19,26,Neutral,2,71,45,263,34,0
John Hardin,Paul Laurence Dunbar,12/21/19,12,Neutral,2,72,60,133,200,0
North Laurel,Great Crossing,12/21/19,12,Neutral,2,75,63,188,106,0
Spencer County,Conner,12/21/19,3,Neutral,2,73,70,236,57,0
Woodford County,Oldham County,12/21/19,5,Woodford County,1,71,66,271,191,0
Madison Central,Harrison County,12/21/19,42,Harrison County,0,84,42,157,113,0
